连同刚才那一碗，他一共吃了三碗。	他连同刚才那一碗一共吃了三碗。
没你这么不讲道理的。	你怎么这么不讲道理。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	遇到防护林，风的速度固然就减少了百分之七十到八十，但是到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
那个瓜没十斤重。	那个瓜不到十斤。
文化活动可以导致人们的行为趋同，就是说，人们的心里状态在文化的作用下呈现出一致性。	文化活动可以导致人们的行为趋同，即人们的心里状态在文化的作用下呈现出一致性。
他们俩光谈学习问题。	他们俩只谈学习问题。
它的宽大的叶子也是片片向上，几乎没有斜生的，更不用说倒垂了。	它的叶子是宽大且片片向上，几乎没有分叉，更不用说倒垂了。
快出村口时，回头再看一眼自己住了十多年的老屋，刘华生的心里一阵酸楚。	快出村口时，刘华生回头再看一眼自己的老屋，住了十多年了，心里一阵酸楚。
他有的是力气。	他力气多。
他下楼了，在门口买了几个面包，塞在书包里，然后去了图书馆。	他下楼了，在门口买了几个面包，塞在书包里，去了图书馆。
我始终坚持认为，雷锋精神不但没有过时，而且永远不会过时。	我始终坚持认为，雷锋精神不仅现在没有过时，而且永远不会过时。
我觉得佳艳的德语水平远在我之上，虽然我的考试成绩比他高。	我觉得我的德语水平远在佳艳之下，虽然我的考试成绩比他高。
哪儿他都去过。	他去过很多地方。
约翰给玛丽买了一件衣服。	约翰买了一件衣服给玛丽。
你为什么不答应他？	你为何不答应他？
她洗净了一件衣服。	她把一件衣服洗干净了。
他有两个儿子，一个是记者，一个是公务员。	他有两个儿子，一个公务员，一个记者。
飞碟！	飞行物！
她去市场买菜回来做饭吃。	她去市场买菜，然后回来做饭吃。
她不学英语。	她不喜欢学英语。
这个计划没有一点问题。	这个计划很完美。
没你这么弄得。	你这么弄不对。
玩了个痛快。	痛快的玩。
必须尽快改变现状，否则我真的没有出路了。	如果不尽快改变现状，我就真的没有出路了。
我让她坐进我的三七炮位里，给她扣上我那沉重的钢盔，告诉她这炮火力相当猛烈。	我叫她坐进我的三七炮位里，给她扣上我那沉重的钢盔，告诉她这炮火力相当猛烈。
他现在比以前好多了。	现在他比以前好多了。
那张桌子三条腿。	那张桌子有三条腿。
老王嫁了他一个女儿。	老王把她一个女儿嫁出去了。
昨天监狱里跑了一个犯人。	一个犯人昨天从监狱里跑了。
不到黄河心不死。	不见棺材不落泪。
一根烟他都没有抽过。	他没抽过一根烟。
我喝酒喝了半个月的工资。	半个月的工资让我喝酒了喝完了。
他知道这事吗？当然知道，只不过他不说而已。	他当然知道这事，只不过他不说而已。
文化活动可以导致人们的行为趋同，就是说，人们的心里状态在文化的作用下呈现出一致性。	文化活动可以导致人们的行为趋同，人们的心里状态在文化的作用下呈现出一致性。
人人都看见她了。	没有一个人没看见她。
不管荤的、素的都没个完。	不管荤的、素的都不够。
他看了一场电影。	他就看了一场电影。
他买了王教授一本书。	王教授的一本书被他买了。
师傅把车修好了。	车被师傅修好了。
每个符号对应一种意义，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。	每个符号对应一种意义，换句话说，两个或几个符号的意义相同，或一个符号表示几种意义的情况不存在。
来客人的家庭。	家里来了客人。
是谁昨天用钳子把车修好的。	是谁昨天用钳子修好了车。
缺不了你的钱花。	你花的钱不会少。
他撒了个谎。	他撒谎了。
这叫你说着了。	你算是说着了。
有人由于不讲逻辑，因此对别人不合逻辑的言论，不但不能觉察它的荒谬，反而随声附和，人云亦云。	有人不讲逻辑，因此对别人不和逻辑的言论，不但不能觉察它的荒谬，反而随声附和，人云亦云。
在下次董事会上，一定得拿出个让大家都满意的新方案出来。	在下次董事会上，一定要把让大家都满意的新方案拿出来。
人人都知道这件事。	这件事被所有人都知道了。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不仅可以帮助人家解一时的燃眉之急，而且还可以借机先锻炼一下自己。
你扮演我们的交通员，让敌人抓住了。	你扮演我们的交通员，被敌人抓住了。
鲁大嘴拿起高中的课本，没有看几页，便开始犯困。	鲁大嘴拿起高中的课本，看了几页，他便开始犯困。
她用的护肤品和你一样高档。	你和她用的护肤品都很高档。
不就是图个鸟叫唤吗？	就是图个鸟叫唤？
奇怪他今天怎么没有来？	今天他很奇怪的没有来？
他们家常常出去旅游。	去旅游是他们家的常事。
这座楼盖得别提多结实了。	这座楼盖得十分结实。
我们在哪些地方做的不对，或者不够令人满意？	哪些地方我们做的不够令人满意，或者不对？
这两天闷的慌。	这两天十分闷。
少不了你的福享。	你有很多福享。
老爷爷拄着拐棍过马路。	老爷爷拄着拐棍，他在过马路。
老陈换了个姿势继续说。	换了个姿势老陈继续说。
动物冬眠时，新陈代谢并未停止，只不过非常缓慢。	动物冬眠时，新陈代谢并没停止，只不过非常缓慢。
方法始终在变。	方法永远在变。
这次活动与其说是在培养孩子们吃苦精神，还不如说是给他们一次体验集体生活的机会。	这次活动与其说是在培养孩子们吃苦精神，不如说是给他们一次体验集体生活的机会。
墙上挂着齐白石的画。	齐白石的画挂在墙上。
把中山大学建设成世界一流水平的大学！	将中山大学提高到世界一流水平！
他不比你强多少。	你并不比他差多少。
我跟她一样，是南方人。	跟她一样，我也是南方人。
不就是二十块钱嘛。	就是二十块钱的事嘛。
济南省城，那是大地方，不用说。	济南省城那是大地方。
小心地滑。	小心别摔倒。
他的衣服干干净净的。	他的衣服很干净。
大家可能还记得这件事。	大家可能还忘记这件事。
质量好极了。	质量很好。
老兄！	老弟！
轮番的轰炸后，这个美丽的小镇被夷为平地。	轮番的轰炸把这个美丽的小镇夷为平地。
